Timestamp,Gender,Age? (Years),Where do you live? (District),What is your highest educational level? ,What is your occupation? ,Monthly income (in thousands) ,What type of bank account do you have?,What is the type of bank you use for  mobile banking application,How long have you been using the mobile banking application?,What are the purposes that you use the mobile banking app? (Select one or many),How did you get to know about mobile banking? ,Do you think a mobile banking app would help you for day to day life?,Do you think mobile banking is safe?,What do you think about the bill payment service offered by mobile banking?,What do you think about the Money transfer facility offered by the Mobile Banking system at any bank? ,Can you satisfy with the service charges related to mobile banking application? ,"According to your knowledge, which banks offer better mobile banking applications?",Would you like to recommend mobile banking to others?
11/3/2020 6:39,Male,19 -30,Galle,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,More than one year,To get account balance update,From Bank,Useful,Yes,Good,Average,No,Private Banks,Yes
11/3/2020 6:40,Male,19 -30,Colombo,Graduate,Private Sector,"101,000 - 150,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 6:57,Male,19 -30,Kurunegala,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Neutral,Yes,Average,Good,No,No idea,Yes
11/3/2020 7:05,Male,19 -30,Kurunegala,Postgraduate,Private Sector,"26,000 - 50,000",Current account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Useful,Yes,Average,Average,No,Private Banks,Yes
11/3/2020 7:06,Female,19 -30,Kandy,Degree,Student,Not applicable,Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To get account balance update",From Internet,Strongly useful,Yes,Good,Average,yes,Government Banks,Yes
11/3/2020 7:28,Female,19 -30,Kurunegala,Degree,Student,Not applicable,Savings account,Government,More than one year,"To pay bills, To get account balance update",From Bank,Useful,Yes,Good,Average,yes,Government Banks,Yes
11/3/2020 7:35,Male,19 -30,Kurunegala,Degree,Student,Not applicable,Savings account,Private,Less than 5 months,To get account balance update,From Internet,Useful,Yes,Average,Good,Neutral,Private Banks,Yes
11/3/2020 7:39,Female,19 -30,Gampaha,Diploma,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 7:59,Female,19 -30,Matale,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,More than one year,"To Transfer money, To get account balance update",Other,Useful,Neutral,Good,Good,Neutral,Government Banks,Yes
11/3/2020 7:59,Male,19 -30,Kurunegala,Postgraduate,Self-employed,"51,000 - 100,000",Savings account,Both,Between 5 months to one year,"To Transfer money, To pay bills, To get account balance update",Other,Useful,Neutral,Good,Good,No,Private Banks,Yes
11/3/2020 7:59,Male,19 -30,Matale,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update",Other,Strongly useful,Yes,Good,Good,Neutral,No idea,Yes
11/3/2020 8:01,Male,19 -30,Kurunegala,Postgraduate,Public Sector,"51,000 - 100,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,Private Banks,Yes
11/3/2020 8:06,Male,19 -30,Kegalle,Degree,Other,"26,000 - 50,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 8:08,Female,19 -30,Kegalle,Graduate,Other,"26,000 - 50,000",Both,Government,More than one year,"To pay bills, To buy goods or services",From Internet,Strongly useful,Neutral,Good,Average,yes,No idea,Yes
11/3/2020 8:10,Female,19 -30,Kalutara,Graduate,Public Sector,"26,000 - 50,000",Savings account,Both,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Good,Good,No,Private Banks,Yes
11/3/2020 8:12,Female,19 -30,Monaragala,Graduate,Public Sector,"51,000 - 100,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,Private Banks,Yes
11/3/2020 8:15,Male,19 -30,Gampaha,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Bank,Strongly useful,Neutral,Good,Good,yes,Private Banks,Yes
11/3/2020 8:19,Female,19 -30,Colombo,Degree,Public Sector,"26,000 - 50,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To get account balance update",Other,Useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 8:23,Female,19 -30,Ratnapura,Degree,Other,"26,000 - 50,000",Savings account,Both,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Useful,Neutral,Good,Good,Neutral,No idea,Yes
11/3/2020 8:25,Female,19 -30,Kegalle,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Strongly useful,Yes,Good,Good,yes,No idea,Yes
11/3/2020 8:30,Male,41 - 50,Kurunegala,Diploma,Self-employed,"101,000 - 150,000",Current account,Private,More than one year,"To Transfer money, To pay bills, To get account balance update",From Internet,Useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 8:36,Female,19 -30,Nuwara Eliya,None,Student,Not applicable,Savings account,Private,More than one year,other,Other,Useful,Yes,Good,Good,yes,No idea,Yes
